Label,length,input,human-expert,gpt-4o,Tiny Llama Unsloth,aya-23-8B,Llama & Assistant,Llama 3 Unsloth,Meta-Llama-3-8B-Instruct,Llama 2 Unsloth,mistral unsloth,mistral-7B-instruct-v0.3,Llama 3 ORPO
9,47,Alle [. . .] pres[ent] [. . .] [ju]stitien [. . .] en ie[. . .] R[a]ad van J[ustitie] [. . .] [. . .] ten d’[e]xecutie van ‘t [v]oorsz: vonnis te surcheeren tot de naedere dispositie van haar hoog edelhedens de hoge Indiase regeering tot Batavia.,"All present [members of the Council of Justice, decide] to suspend the execution of the aforesaid judgement until further decision by her high honourables the high Indian government in Batavia.",All present justices and the Council of Justice to oversee the execution of the aforementioned sentence until the further disposition of their high honors the high Indian government at Batavia.,"['\n(1) Retain the exact sentence structure of the original early modern dutch text, (2) Keeping the sentence length to the same as the original text, (3) Keeping the sentence structure exactly as it appears in the original early modern dutch text, (4) Keeping any specific historical or cultural references unchanged, (5) Keeping the formal or archa']","[""All [present] [justitien] [and] ie [R]aad van J [ustitie] [to] the [e]xecutie of 't [v]oorsz: vonnis te surcheeren tot de naedere dispositie van haar hoog edelhedens de hoge Indiase regeering tot Batavia.""]",['All [. . .] present [. . .] [justitien] and in case of [. . .] R[aa]ad of Justitie of [. . .] to execute the search for the execution of the voorsorum’s vonnis until the next lower disposition of her high edelhedens the high Indian government in Batavia.'],['All [...] present [...] justices [...] and ie[...] Council of J[ustitie] [...] [...] to surcharge to the additional stipulation of their high honourables the high Indian government of Batavia.'],['Here is the translation of the early modern Dutch text sentence into contemporary English text:\n\nAll [...] present [...] justices [...] and I [...] the Council of Justice [...] [...] to the execution of the verdict to seek to the further disposition of her high excellency the high Indian government to Batavia.'],['All [. . .] present [. . .] [justitien] and in case of [. . .] R[a]aad van J[ustitie] [. . .] [. . .] to carry out the execution of the aforementioned voorsorensen vonnis until the next action of her high edelhedens the high Indian government'],['All [. . .] present [. . .] justice [. . .] and the honourable Council of Justice [. . .] to execute the aforementioned verdict of the honourable high government of India in Batavia.'],"['All [. . .] present [. . .] [justices] [. . .] and he [. . .] Council of Justice [. . .] [. . .] for the execution of the aforementioned verdict to search for, to the further disposal of her high nobility, the high Indian government in Batavia.']",['Here is the translation of the early modern Dutch text sentence into contemporary English text:\n\nAll [...] present [...] justices [...] and members of the Council of Justice [...] [...] to ensure the execution of the aforementioned sentence to the further disposition of her high excellency the high Indian government at Batavia.assistant']
3,10,Dit werk [get.] is bij den deposant Barrido selfs gestelt.,This mark [signed] was set by the deponent Barrido with his own hand.,This work [signed] is placed by the depositor Barrido himself.,['\nThis is a verification of the aforementioned deposition'],['This work [is] placed by the depositor Barrido himself'],['This work [signed] was set down by the deponent Barr'],['This mark [signed] was set by the deponent Barrido himself'],['This work [get.] is by the deposant Barrido itself set'],['This work [signed] was set down by the deponent Barr'],['This mark [signed] is set by the deponent Barrido himself'],['This work [got.] was set by the depositor Barrido himself'],['This work is set by the deposant Barrido himself.']
9,9,[A]ntw: Ik stel ’t in ’t be[l]ieven der heeren.,Answer: I leave that to the judgement of the lords.,Answer: I leave it to the discretion of the gentlemen.,['\n### Instruction:\n\nYou are a helpful assistant designed to help users translate text'],['[A]nsw: I put it in the belief of the lords.'],['[A]nsw: I put it in the judgement of the lords.'],['[A]ntw: I leave it to the lords’ decision.'],"['Please translate the given early modern Dutch text sentence into contemporary English text, following the provided']",['[A]ntw: I put it in the judgement of the lords.'],['Answer: I hold it in the lords.'],['Answer: I put it in the hands of the gentlemen.'],"['Please translate the given early modern Dutch text sentence into contemporary English text, following the provided']"
7,7,"’t Welk getuigd, [get.] Joan Klijn, secret:.","Which declares, [signed] Joan Klijn, secretary.","Which witnessed, [signed] Joan Klijn, secretary.",['\n### Instruction:\nYou are a helpful assistant designed to help'],"['’t Welk getuigd, Joan Klijn, secret']","['The Welk declared, [signed] Joan Klijn, secretary.']","['Which declares, [signed] Joan Klijn, secretary.']",['Please provide the English translation of the early modern Dutch text sentence. \n\n'],"['The Welk declared, [signed] Joan Klijn, secretary.']","['Which declares, [signed] Joan Klijn, secretary.']","['The aforementioned, [get.] Joan Klijn, secret']",['Here is the translation of the early modern Dutch text sentence into contemporary English']
4,40,Aldus gerecolleerd gepersisteerd en g’altereerd binnen destad Cochim ter ordinaris Raad-camer van gemelte agtb: Raad van Justitie op den 20:e Z:ber 1737 in presentie van den oppertolk Cornelis van Meeckeren en boekhouder Cornelis Hendriksz: Oudewater beijde leeden uijt voors: Raed.,"Thus verified and persisted with, and added in the city of Cochim at the ordinary Chamber of Council of the aforementioned honourable Council of Justice on 20 September 1737 in the presence of the chief interpreter Cornelis van Meeckeren and bookkeeper Cornelis Hendriksz. Oudewater, both members of mentioned Council.","Thus recollected, persisted and altered within the city of Cochim in the ordinary Council chamber of the aforementioned Honorable Council of Justice on the 20th of September 1737 in the presence of the chief interpreter Cornelis van Meeckeren and bookkeeper Cornelis Hendriksz: Oudewater both members from the aforementioned Council.","['\n### Instruction:\n\nYou are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to english: (1) Keeping the exact sentence structure of the original early modern Dutch text, (2) Keeping the sentence length to the same as the original']","['Thus recalled, persisted, and altered within the city of Cochin at the ordinary council chamber of the above: Council of Justice on the 20th of September, 1737, in the presence of the interpreter Cornelis van Meeckeren and bookkeeper Cornelis Hendriksz: Oudewater both led out before:']","['Thus verified, persisted with and altered within the city of Cochim at the ordinary Chamber of Council of the aforementioned honourable Council of Justice on 20th Z:ber 1737 in the presence of the first clerk Cornelis van Meeckeren and bookkeeper Cornelis Hendriksz. Oude']","['Thus verified, persisted with and altered in the city of Cochim at the ordinary chamber of the mentioned honourable Council of Justice on 20 September 1737 in the presence of the chief interpreter Cornelis van Meeckeren and bookkeeper Cornelis Hendriksz. Oudewater, both members of the aforementioned Council.']","['Here is the translation of the early modern Dutch text sentence into contemporary English text:\n\nThus collected, preserved, and altered within the city of Cochim in the ordinary Council Chamber of the aforementioned court: Court of Justice on the 20th of December 1737 in the presence of the interpreter Cornelis van Meeckeren and bookkeeper Cornelis Hendriksz']","['Thus verified, persisted with, and altered within the city of Cochim at the ordinary Council-chamber of the mentioned honourable Council of Justice on 20th Sunday in the year 1737 in the presence of the first clerk Cornelis van Meeckeren and bookkeeper Cornelis Hendriksz. O']","['Thus verified, persisted, and altered in the city of Cochim at the ordinary chamber of council of the mentioned honourable Council of Justice on 20 September 1737 in the presence of the chief interpreter Cornelis van Meeckeren and bookkeeper Cornelis Hendriksz. Oudewater, both members of the aforementioned Council']","['Thus recalled and persisted, and altered within the city of Cochim in the ordinary Council Chamber of the aforementioned Council of Justice on the 20th of September 1737, in the presence of the interpreter Cornelis van Meeckeren and the treasurer Cornelis Hendriksz: Oudewater, both members from the']","['Thus persisted and altered within the city of Cochim at the ordinary Council Chamber of the aforementioned noble Council of Justice on the 20th of December 1737 in the presence of the interpreter Cornelis van Meeckeren and bookkeeper Cornelis Hendriksz Oudewater, both members of the aforementioned Council.assistant\n\nThus persisted and altered within']"
8,90,"In ’t jaar Coilan 918: in de maand Eddawam M:S: ofte a:o 1743: in de maand meij is dese slaefbare ola gesz: en gepasseert, en den moor Alimoedin inwoonder van Cartigapallij heeft bij verkoop getransporteert, gecedeert, en in vollen eijgendom opgedragen, aan en ten behoeve van den Chego Adicanden inwoonder van Paritienpallij, desselfs leijffeijgen meijd genaamt Coenje Penoe, en zulx voorde prijsals4:personenwaerdigg’oordeelttehebben;‘toorcondeisdeseolagepasseert in presentie van de christenen Pandialakel Bastiaan, en Parambil Pedro, en gesz: bij Welapenaddoe Antij, in het hoofd stonden drie streepjes, willende betkenen de handtijkening van den verkoper.","In the year Coilan 918, in the month Eddawam M.S. or anno 1743 in the month May this slaveability ola is written and passed, and the Moor Alimoedin, resident of Cartigapallij, has by sale transported, ceded and transferred into full ownership, to and for the Chego Adicanden, resident of Paritienpallij, his leijffeijgen meijd named Coenje Penoe, and having judged such for the price of four persons in value, the certificate is this ola recorded in the presence of the Christians Pandialakel Bastiaan and Parambil Pedro, and written by Welapenaddoe Antij (in the heading were placed three lines, representing the signature of the seller).","In the year Coilan 918: in the month Eddawam M:S: or a:o 1743: in the month of May, this slave deed is said and passed, and the Moor Alimoedin, inhabitant of Cartigapallij, has by sale transferred, ceded, and fully assigned, to and for the benefit of the Chego Adicanden, inhabitant of Paritienpallij, his female serf named Coenje Penoe, and this for the price as 4 persons valued worthy; for evidence, this deed is passed in the presence of the Christians Pandialakel Bastiaan, and Parambil Pedro, and said by Welapenaddoe Antij, in the head stood three dashes, meaning the hand signature of the seller.","['\n(1) Keeping the exact sentence structure of the original early modern Dutch text, (2) Keeping the sentence length to the same as the original, (3) Keeping retaining the exact sentence structure of the original early modern Dutch text, (4) Keeping Keeping the sentence length to the same as the original early modern Dutch text, (5) Keeping Keeping the sentence length to the same as the original early modern Dutch text, (6) Keeping Keeping the sentence length to the same as the original early modern Dutch text, (7) Keeping Keeping the sentence length to the same as the original early modern Dutch text, (8) Keeping Keeping the sentence length to the same as the original early modern Dutch text, (9) Keeping Keeping the sentence length to the same as the original early modern Dutch text, (10)']","['In the year 1743: in the month of May is this salable land sold and passed, and the Moor Alimoedin, dweller of Cartigapallij, has by sale transported, ceded, and in full ownership assigned, to and for the benefit of the Chego Adicanden, dweller of Paritienpallij, whose life is called Coenje Penoe, and such for the price as four persons warrant. This was sold in the presence of the Christian Pandialakel Bastiaan, and Parambil Pedro, and signed by Welapenaddoe Antij, in the head stood three stripes, meaning the signature of the seller.']","['In the year Coilan 918, in the month Eddawam M:S: or around the year 1743, in the month meij is this slaefbare ola written and passed, and the Moor Alimoedin, resident of Cartigapallij, has with the sale transferred, ceded, and fully and effectively entrusted to and for the use of the Chego Adicanden, resident of Paritienpallij, his own official meijd named Coenje Penoe, and such like for the price of four persons; ‘toorcondeisdeseolagepasseert in presentie van de christenen Pandialakel Bastiaan, en Parambil Pedro, en gesz: bij Welapenaddoe Antij, in the heading stood three strokes, wanting to indicate the hand']","['In the year of Coilan 918 in the month Eddawam [that is in] 1743 in the month May is this slaefbare ola written and passed, and the Moor Alimoedin, resident of Cartigapallij, has with sold, transferred, surrendered and fully possessed, to and for the benefit of the Chego Adicanden, resident of Paritienpallij, his own meijd named Coenje Penoe, and such is worth four persons’ price or have ordained; confirmed in the presence of the Christians Pandialakel Bastiaan and Parambil Pedro, and written by Welapenaddoe Antij, in the heading three lines, wanting to indicate the handtijkening of the seller.']","[""In the year 918: in the month of Eddawam M:S: or 1743: in the month of May, this slave girl Ola has passed away, and the Moor Alimoedin, an inhabitant of Cartigapallij, has transported, deceased, and bequeathed her, in full ownership, to the Chego Adicanden, an inhabitant of Paritienpallij, namely Coenje Penoe, and such for the price of 4 people's worth; in the presence of the Christians Pandialakel Bastiaan, and Parambil Pedro, and witnessed by Welapenaddoe Antij, in the head stood three stripes, intending to signify the agreement of the seller.""]","['In the year Coilan 918, in the month Eddawam M:S: or around the year 1743, in the month meij is this slaefbare ola written and passed, and the Moor Alimoedin, resident of Cartigapallij, has with the sale transferred, ceded, and fully surrendered, to and for the benefit of the Chego Adicanden, resident of Paritienpallij, his own official meijd named Coenje Penoe, and such like for the price of four persons; ‘toorcondeisdeseolagepasseert in presentie van de christenen Pandialakel Bastiaan, en Parambil Pedro, en gesz: bij Welapenaddoe Antij, in the heading stood three strokes, wanting to indicate the handt']","['In the year Coilan 918 in the month Eddawam M.S. or in the year 1743 in the month meij this slaveable ola is written and recorded, and the Moor Alimoedin, resident of Cartigapallij, has with this sale transmitted, ceded and put in full ownership, to and for the benefit of the Chego Adicanden, resident of Paritienpallij, his leijffeijgen meijd named Coenje Penoe, and such has been approved for the price of 4 persons by the honourable judges; this ola is recorded passed in the presence of the Christians Pandialakel Bastiaan and Parambil Pedro, and written by Welapenaddoe Antij, with the heading standing three crosses, wanting to denote the handtijken']","['In the year 918 Coilan: in the month Eddawam M:S: or the year 1743: in the month of May, this slaveable oil was signed, sealed, and delivered, and the inhabitant of Cartigapallij, Moor Alimoedin, transported it upon sale, acted upon it, and in full ownership, assigned it to and for the benefit of the Chego Adicanden inhabitant of Paritienpallij, his wife named Coenje Penoe, and this was valued at 4:personsworth by four persons. The deed was passed in the presence of the Christian Pandialakel Bastiaan, and Parambil Pedro, and it was signed at Welapenaddoe Antij, with three strokes at the top, indicating the signature of the seller.']","['In the year 1743, in the month of May: this slave ola was seized and passed, and Moor Alimoedin, a resident of Cartigapallij, transported, conveyed, and handed over in full ownership to the benefit of Chego Adicanden, a resident of Paritienpallij, his own daughter named Coenje Penoe, and this was deemed to be of the value of four persons; witnessed by the Christians Pandialakel Bastiaan, Parambil Pedro, and signed by Welapenaddoe Antij, with three horizontal lines indicating the signature of the seller.assistant:\n\nIn the year 1743, in the month of May: this slave ola was seized and passed, and Moor Alimoedin, a resident of Cartigapallij, transported, conveyed,']"
2,40,En hoe nadrukkelijk dit overeenstemd met het gestatueerde van hun hoogedelheedens de hooge Indiasche regeering te Batavia bij derselve resolutie in dato den 21. oktober 1710. genomen zal den rat: off: eijscher d’eer hebben alhier verbotenus ter needer te stellen.,"And how this explicitly matches with what was decreed by the honourables of the high Indian government in Batavia in their resolution taken on 21 October 1710, which the eijscher in his official capacity has the honour to note here orally.","And how emphatically this agrees with the statutes of their high mightinesses the high Indian government at Batavia by their resolution dated the 21st of October 1710, taken shall the council: or: petitioner have the honor to submit here verbally.","['\n### Instruction:\n\nYou are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence']","[""And how this is consistent with the statuted by their high dignity of the high Indian government at Batavia in this resolution in date the 21st of October 1710. taken will the rate: off: eijscher d'eer have here forbidden to set""]","['And how clearly this corresponds with the statuated by their honourable lords the high government of India at Batavia, taken with the resolution in the date of 21 October 1710, shall have permitted the eijscher to put it into effect here.']","['And how persistently this corresponds with the statute of their honourables the high Indian government in Batavia, which was taken on 21 October 1710 in the same resolution, the eijscher in his official capacity will have the honour to bring this to notice.']","['The English translation of the early modern Dutch text sentence is: \n\n(Note: Please provide the English translation of the early modern Dutch text sentence, following the guidelines provided in the instruction.) \nFinal Answer: The English translation of the early modern Dutch text sentence is: And how emphatically this will conform to the']","['And how accurately this is in accordance with the statuated by their honourable lords the high government of the honourable government of the high Indies in Batavia, taken with their resolution in the date of 21 October 1710, shall have ordered the prosecutor in his official capacity to']",['And how explicitly this concurs with the statutory of their high honourables the high Asian government in Batavia which shall be resolved hereby on 21 October 1740. The eijscher in his official capacity shall have the honour to be forbidden to lower this here.'],"['And how clearly this agrees with the established regulations of their highness, the high Indies administration in Batavia, by their own resolution on the 21st of October 1710, the council: or: either this honor here has been prohibited from being lowered.']","['Here is the translation of the early modern Dutch text sentence into contemporary English text:\n\nAnd how emphatically this accords with the statute of their high lordships the high Indian government in Batavia, as resolved in their resolution of October 21, 1710, the rat: or: oath of the']"
7,92,"Den raad met aandagt etc: doende regt uit name ende van wegen haar hoogmogende de heeren staaten Generale der vrije vereenigde Nederlanden onse wettige, en souveraine overigheijt advoueert des eijsss: eijsch en versoek tot largatie van den gev: toepasse soldaat Jan Dias gedaan, en ontslaat oversulx denselven kost en schadeloos uit sijn detentie; en condemneerd den luitenant commandant van het fort Wilhelmus van Chettua, Jan Doorn, in de vergoeding van des gev: Jan Dias, maand gelden die hij geduurende sijn detentie niet heeft genoten: soomeede in de costen ende misen van Justitie.","The council with attention etcetera doing justice in the name and on behalf of the high and mighty Lords States General of the free United Netherlands, our lawful and sovereign government, acknowledges the eijsser’s eijsch and request for release of the imprisoned toepas soldier Jan Dias, and acquits him from his detention free from cost and compensation; and condemns the lieutenant commander of the fort Wilhelmus of Chettua, Jan Doorn, in the compensation of the prisoner Jan Dias’ maandgelden that he did not enjoy during his detention; as well as for the costs and expenditure of justice.","The council with attention etc: rendering justice in the name and on behalf of their high mightiness the lords states general of the free united Netherlands our lawful and sovereign authority advances the claim: demand and plea for the release of the soldier Jan Dias, and thus discharges him fully and without costs from his detention; and condemns the lieutenant commander of the fort Wilhelmus of Chettua, Jan Doorn, to reimburse the said Jan Dias, months' wages that he did not receive during his detention: as well as the costs and expenses of justice.","['\n### Instruction:\n\nYou are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to english: (1) Retain the exact sentence structure of the original early modern dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve the exact wording of the original early modern dutch text, (4) Keep the sentence structure of the original early modern dutch text exactly as it appears in the original text, (5) Keep the exact same as the original early modern dutch text where appropriate, (6)']","['The council with carefulness etc: doing right out of name and of ways her most honorable lords states General of the free united Netherlands our lawful, and sovereign overlordship acknowledges des eijsss: ice and request for relief of the application of the soldier Jan Dias made, and releases him from his cost and harmless from his detention; and condemned the lieutenant commander of the fort William of Chettua, Jan Doorn, in the compensation of des eijsss: Jan Dias, month money that he did not enjoy during his detention: so also in the costs and expenses of']","['The Council with attention etcetera doing justice in the name of her high mightiness the lords Staten Generaal der Vrije Vereenigde Nederlanden our lawful, and sovereign highness confesses the confession and petition for release of the prisoner, soldaat Jan Dias, made, and releases him from his detention, and condemns the lieutenant commander of the fort Wilhelmus van Chettua, Jan Doorn, in the compensation of the prisoner Jan Dias, lasting during his detention, which he has not enjoyed; also in the costs and expenditure of justice.']","['The Council with attention etc. doing justice in the name and by reason of her high and mighty the lords States General of the free United Netherlands, our lawful and sovereign authority, confirms the eijsss’ eijsch en versoek for the release of the imprisoned Toepasse soldier Jan Dias, and acquits him from his imprisonment free from cost and compensation; and condemn the lieutenant commander of the fort Wilhelmus of Chettua, Jan Doorn, in the compensation of the soldier Jan Dias, monthly salary which he did not receive during his imprisonment, as well as the costs and expenses of Justice.']","['The council with attention etc: doing right from name and of ways her high and mighty the honorable gentlemen of the General States of the free united Netherlands, our lawful, and sovereign supreme authority advises the following: namely, and request for the release of the prisoner: to apply the soldier Jan Dias, who has done his duty, and relieve him of all costs and damages from his detention; and condemn the lieutenant commander of the fort Wilhelmus van Chettua, Jan Doorn, in the compensation for the prisoner Jan Dias, the monthly wages that he did not enjoy during his detention: and also in the costs and expenses of Justice.']","['The Council with attention etcetera doing justice in the name of her high mightiness the lords Staten Generaal der Vrije Vereenigde Nederlanden, acknowledging our wettige, and soveraine overigheijt, confirms the confession and petition for release of the imprisoned soldier Jan Dias, and releases him free from his detention; and condemns the lieutenant commander of the fort Wilhelmus van Chettua, Jan Doorn, in the compensation of the imprisoned Jan Dias, at 12 rixdollars which he did not earn during his detention; also in the costs and expenditure of']","['The Council with attention etcetera doing justice in the name of and for the high lords the states general of the free united Netherlands, our lawful and sovereign authority, advocates the eijsscher’s request, eijsch en versoek for the release of the imprisoned Toepasse soldier Jan Dias, and releases him from his imprisonment free from cost and compensation, and condemns the lieutenant commander of the fort Wilhelmus van Chettua, Jan Doorn, for the indemnification of the prisoner Jan Dias, for the money he did not enjoy during his imprisonment; and for the costs and expenditure of justice.']","['The council, with attention, etc: performing justice in name and by the authority of the High Mighty Lords States General of the Free United Netherlands, our lawful and sovereign overlord, advocates for the issuance and request for the grant of the prisoner soldier Jan Dias, and discharges his costs and without prejudice from his detention; and condemns the lieutenant commander of Fort Wilhelmus van Chettua, Jan Doorn, in compensation for the prisoner Jan Dias, for the wages he did not receive during his detention; also in the costs and expenses of Justice.']","['Here is the translation of the early modern Dutch text sentence into contemporary English text:\n\nThe council, with attention, etc., having done justice in the name and by virtue of their high and mighty powers, the honourable lords, the General States of the free United Netherlands, our lawful and sovereign superiors, appeal to the following: claim and request for clemency for the aforementioned soldier Jan Dias, and release him from his detention, free of charge and without damage; and condemn Lieutenant Commander Jan Doorn of Fort Wilhelmus van Chettua to compensate Jan Dias for the monthly wages he did not receive during his detention, as well as the costs and expenses of justice.assistant']"
4,38,"Extract uijt de regtsrolle gehouden voor den agtb: Raad van Justitie binnen de stad Cochim op Dingsdagh den 22:ten 8:ber 1737: des morgens ten agt uuren alle present, dempto den vaendrig Jan Schut, als zijnde command:nt tot Cranganoor.","Extract from the judicial roll held before the honourable Council of Justice in the city of Cochim on Tuesday, 22 October 1737 in the morning at eight o’clock, all present except the vaendrig Jan Schut, being commander in Cranganoor.","Extract from the court record kept before the noble Council of Justice in the city of Cochim on Tuesday the 22nd of October 1737: at eight o'clock in the morning all present, except for the ensign Jan Schut, as being commander at Cranganoor.","['\n### Instruction:\n\nYou are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to english: (1) Retain the exact sentence structure of the original early modern Dutch text,']","[""The following is the English translation of the above early modern Dutch text:\n\nThe following is the English translation of the above early modern Dutch text:\n\nOn the 22nd of August, 1737, at eight o'clock in the morning, all""]","['Extract from the judicial roll held before the honourable Council of Justice within the city of Cochim on Dingsdag, 22nd of the eightber 1737; all present, dempto the vaenrig Jan Schut, as being the commander at Crangano']","['Extract from the judicial roll presented for the honourable Council of Justice within the city of Cochim on Tuesday, 22 August 1737 in the morning at eight o’clock, all present, except the vaandrig Jan Schut, being commander at Cranganoor.']","[""On Dingsdagh the 22nd of October 1737, at eight o'clock in the morning, all present, including Commander Jan Schut, were summoned by the Raad van Justitie within the city of Cochim.""]","['Extract uijt de regtsrolle gehouden voor den agtb: Raad van Justitie binnen de stad Cochim op Dingsdagh den 22:ten 8:ber 1737: des morgens ten agt uuren alle present, dempto']","['Extract from the judicial roll presented for the honourable Council of Justice within the city of Cochim on Tuesday, 22 October 1737 in the morning at 8 o’clock, all present except the vaendrig Jan Schut, being commander of Cranganoor.']","[""Extracted from the records kept for the High Court of Justice within the city of Cochin on Thursday, the 22nd of August, 1737: in the morning at eight o'clock, all present, including the captain Jan Schut, as commander of Cranganore.""]","[""Here is the translation of the early modern Dutch text sentence into contemporary English text:\n\nExtracted from the justice roll kept for the esteemed Council of Justice within the city of Cochin on Tuesday, the 22nd of August 1737, in the morning at eight o'clock, all present, including""]"
5,6,Gesteldt bij [get.] den wasser Maden.,Set by [signed] the wasser Madden.,Placed by [signed] the washer Maden.,['\n(1) Keeping the exact sentence structure'],['They put water in the bath.\n'],['Set by [signed] the wasser Maden'],['Set by [signed] the wasser Maden.'],['Please translate the given early modern Dutch text sentence into contemporary'],['Set by [signed] the wasser Maden'],['Set by [signed] the wasser Maden'],['Established by the water mill.'],['Please provide the English translation of the early modern Dutch text']
9,23,"Of den gev: daarmeede niet te vreeden wesende niet heeft gesegt, dat het niet noodig was, en dat hij sijn geld wilde hebben?","Whether the prisoner had not been dissatisfied with this, saying that this was not necessary, and that he wanted his money?","Of the said: not being content thereby, he has not said that it was not necessary, and that he wanted to have his money?",['\nAnswer:\n\n### Example Response:\n\nAnswer:\n\n### Instruction:\n\nYou are a helpful assistant designed to'],"['Did he not say that it was not necessary, and that he wanted his money?']","['Whether the prisoner, trying to persuade him, did not say that it was not necessary, and that he wanted his money?']","['Whether the prisoner, not pleased with this response, did not say that it was not necessary, and that he wanted his money?']","['Please translate the given early modern Dutch text sentence into contemporary English text, following the provided instructions. \n\nPlease provide the English translation of the early']","['Whether the prisoner, trying to persuade him, did not say that it was not necessary, and that he wanted his money?']","['Whether the prisoner, being unsatisfied with that, did not say that it was not necessary and that he wanted his money?']","[' Did he not say, that it was not necessary, and that he wanted his money?']",['Here is the translation of the early modern Dutch text sentence into contemporary English text:\n\nSince he was not willing to agree with the aforementioned not having']
9,38,"Of den gev: naer afscheid van voorm: Antij /:die in tuschen weder ’t huijs was gekomen:/ genomen hebbende, vervolgens nevens boven gem: Poeliase jongen Chacken naer Cranganoor ten huijse van sijn swaeger in naeme Aura niet gegaen is?",Whether the prisoner after having said goodbye to the aforementioned Antij (who in the meantime had come home again) then did not go to Cranganoor to the house of his brother-in-law named Aura with the aforementioned Poeliase jongen Chacken?,"Having taken leave from the aforementioned Antij, who in the meantime had come back home, subsequently did not go to Cranganoor to the house of his brother-in-law in the name of Aura, with the aforementioned Poeliase boy Chacken?","['\n### Instruction:\n\nYou are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to english: (1) Keeping the exact sentence structure of the original early modern Dutch text,']","['After the departure from before: Anti /: who had come in between the house was /: taken, then next to above mentioned Poeliase boy Chacken went not to Cranganoor to the house of his son-in-law in the name of Aura']","['Whether the prisoner, after the separation from the aforementioned Antij (who had returned into the house in between), had not gone to Cranganoor to the house of his uncle-in-law, with the aforementioned Poeliase jongen Chacken?']","['Whether the prisoner, after saying goodbye to the aforementioned Antij (who had come to the house in the meantime), taking with the aforementioned Poeliase jongen Chacken to Cranganoor, did not go to the brother-in-law of the name of Aura?']","['After taking leave of the aforementioned Antij, who had come to the house in between, having taken, subsequently alongside the above-mentioned Poeliase young boy Chacken to Cranganoor to the house of his uncle in the name of Aura, he did not go.']","['Whether the prisoner, after the separation from the aforementioned Antij (who had returned into the house in between), had not gone to Cranganoor to the house of his uncle-in-law named Aura, not accompanied by the aforementioned Poeliase jongen Ch']","['Whether the prisoner, taking leave of the aforementioned Antij (who had returned to the house in the meantime), did not go to Cranganoor with the aforementioned Poeliase jongen Chacken to the house of his brother-in-law Aura?']","['Has he not gone to Cranganoor, to the house of his father-in-law Aura, after taking leave of the former mayor Antij, who had returned to his house?']","['Here is the translation of the early modern Dutch text sentence into contemporary English text:\n\nAfter taking leave of the aforementioned Antony, who had come to the house in between, and having taken with him the aforementioned Poeliase boy Chacken, he did not go to the house of his brother-in-law']"
9,29,"Waarmeede den eijsser, naer Z: E: agtb: versogt te hebben, om ’t manqueerende in desen ex off:o te willen suppleren, vermeent bevoegt te sijn, met goed regt te mogen","And with this, the eijsser, after having requested your honourables to supplement that what is missing ex officio, considers himself authorized to rightfully","Wherewith the plaintiff, after having requested His Excellency's attested consent, to supplement the missing parts in this ex officio, deems himself competent, with good reason to claim",['\n### Instruction:\nYou are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to english: (1)'],"['Wheremede den eijser, naer Z: E: agtb: versogt te hebben, om ‘t manqueerende in desen ex off:o te willen suppleren, vermeent']","['Whereby the eijsser, having sought after your honourable’s permission, to be able to supplement the lacking in this case by offiction, believes to be qualified, with the right\nto']","['With this the eijsser, after having requested your honourable’s permission to supplement the lacking in this ex officio, believes to be allowed to request the addition of the documents, so as to be able to present the']","['Please translate the given early modern Dutch text sentence into contemporary English text. The translation should retain the exact sentence structure of the original text, keep the sentence length the same, preserve all proper nouns exactly as they appear in the original text']","['With this in mind, the eijsser has requested from your honourable office to supplement the lack of [a] servant in this case with the right to.']","['With which the eijsser, after having requested of your honourables to supplement the lacking in this case ex officio, seems to be qualified and allowed to be']","['Wherefore the issuer, after Z: E: agtb:, seems to have intended to remedy the deficiency in this ex officio order, appears to be authorized, with good right, to do so.']","['Here is the translation of the early modern Dutch text sentence into contemporary English text:\n\nWith which the assessor, after being requested by Your Excellency to supplement the deficiency in this ex officio, deems himself competent to do so']"
