input,output,instruction,Label,length
"Soo ja, te beduijden, waeromtrent hij woonagtig is, en waermeede sich geneert?","If yes, to state where he resides and with what he subsists?","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",9,12
"Of den gev: een slavin van Ittij Taijen Naijro, sijnde van Betuuas casta, in sijn dienst niet heeft gehad; en hoe zij genaamd is?","Whether the prisoner had in his service a slave woman of Ittij Taijen Naijro, being from the Betuwas caste; and how she is named?","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",7,24
"Quod attestor, [get.] J: V: D: Poel, g: klerk.","Quod attestor, [signed] J. V. D. Poel, sworn clerk.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",2,9
"Eijndigende hiermede den confess:t zijne gegevene confessie, die hij betuijgt de opregte en sincere waarh:t te wesen, over zulx bereijt blijvende deselve met eede nader gestant tedoen.","The confessant ending herewith his given confession, which he declares to be the sincere and honest truth, he remains willing to reaffirm this when he is required to in the future.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",1,27
"den fiscael, [get.] H: W:n Koller, secret:s.","In my presence, by indisposition of the fiscal, [signed] H. W.n Koller, secretary.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",4,7
"Accordeert, [get.] H: Koller, secret:s.","Approved, [signed] H. Koller, secretary","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",3,5
"Aan wiens huijs hij gev: nu en dan komende, en thans de terug reijse aantreeden willende, aan gem: Chego vroeg, of hij denselven meede na de stad Cochim gaan wilde.","Whose house the prisoner visited now and then, and when wanting to commence [his] return, asked the mentioned Chego whether he wanted to go to the city of Cochim too.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",10,30
"Confessie van den heijdens Caniaen Ittinaen, N:o 53.","Confession of the heathen Caniaen Ittinaen, Number 53.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",4,8
Antw: Van den koning van Trevancoor.,Answer: Of the king of Trevancoor.,"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",8,6
Dictum tot largatie van den gev: Chego Adij Canda.,Dictum for the release of the imprisoned Chego Adij Canda.,"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",8,9
"Aldus gerecolleert inde stat Cochim den 21 aug: a:o: 1708. ter presentie van de gecomitt: Hendrik Coolhof en Cornelis de Munt die d’minuten deses benev:s den deposant, den translateur Cornelis van Mekeren voor ’t vertolken en mij secret: hebben ondertekent.","Thus verified in the city of Cochim [on] 21 August in the year 1708 in the presence of the delegates Hendrik Coolhof and Cornelis de Munt who signed the original of this besides the deponent, the interpreter Cornelis van Mekeren
for translating and me the secretary.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",1,40
Werd hij relatant wijders gevraagt of hem door desselfs huisvrouw of slave meijd den eersten dag al en naderhand nog verscheijde maalen niet is gesegd geworden dat den Chego geen slaav is.,"The testifier was asked further whether he was not told by his housewife several times already on that first day, that the Chego is not a slave?","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",10,32
"Voor de translatie Cochim den 11:’julij 1743, [get.] C: v: Meeckeren, g: transl:r.","For the translation, Cochim, 11 July 1743, [signed] C. v. Meeckeren, sworn interpreter.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",8,13
"Gerecolleerde verklaering van de vrouw Maleparti Marian, B.","Verified statement of the woman Maleparti Marian, B.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",2,8
"Dog wat aan gaet het gene bij de statuiten van Batavia onder den titul van slaeven of lijfeijge[n]en art:l 12. gesegt werd wegens het deboucheeren, ophitsen, en aanhouden, ofte huijsvesten van eens anders slaeven, dat ’t selve verstaen moet werden van vagebonden slaeven, of die om andere reden latiteeren, soo als dat ook bij de roomse regter, als iets anders begrepen is geweest, /:getekent:/ F: De Groot, sec:s, (lager) accordeert /:was get::/ J:s: Spits sec:s /:onderstond:/ accordeer[t] /:get::/ F:s Thievart E:te clerq /onderstond/ accordeert /:get::/ Aij V:n Vechten sec[:s].","However, concerning that which is stated in the Statutes of Batavia in the section on slaves or lijfeijgenen, article 12, with regard to the seduction, incitement and keeping or housing of someone else’s slaves, that this must be differentiated from vagabonding slaves, or those who are hiding for other reasons, just as this was understood as something different by the Roman judge, [signed] F. De Groot, secretary, [lower] approved [was signed] J.s: Spits, secretary [standing below] approved [signed] F.s Thievart, First clerk [standing below] approved [signed] Aij V.n Vechten, secretary.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",9,89
"Dat den gevangen op een zeekeren dag met een meisje haar deur voor bij gegaan was, zij hem toen om het geld aangesprooken had, waar op den gevangen gerepliceerd had van geen geld te hebben.","That the prisoner on a certain day had passed by her door with a girl, she had then addressed him about the money, to which the prisoner had replied that he did not have any money.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",2,35
"Compareerde andermael voor de naer genoemde gecommitt:de leeden uijt den agtbaere Raad van Justitie deser steede den confessant voorm: in de voorenstaende confessie dewelke hem nu wederom, ten overstaen van den ondercoopman, en fiscael deser commanderije Corijn Stevens, door mij secret:s van woorde tot woorde voorgehouden en door de vertaaling van den ondertolk Balthasar den Brouwer wel, en duijdelijk te verstaan gegeven zijnde, verklaarde hij confessant bij den inhoude van voorsz: zijn vrijwillige belijdenisse ten vollen te blijven persisteeren, sonder eenige de minste verandering te begeeren, wijders door den officier hem confessant zijnde afgevraegt, of hij niet weet dat hij geeenige slaven mag koopen, of pretendeeren aen te koopen, veel wier van buijten naar binnen de stad senden sonder dat hem de whaere slaefbaerhijt van soo daenige lijfijgene bij genoegsaam bewijs te voorens is gebleeken, heeft hij daer op g’antwoord, ik heb dien jongen niet gekogt, maer den selve eerelijk naer de stad gesonden, om met den eijgenaar naederhand te komen, en d:o slaef aan den E:E: agtb: heer commandeur te verthoonen.","There appeared again before the undermentioned delegated members of the Council of Justice of this city, the confessant mentioned in the previous confession, which was presented now again to the deponent by me [the] secretary word for word in the presence of the second merchant and fiscal of this district, Corijn Stevens, and was plainly explained to him by translation of the junior interpreter Balthasar den Brouwer, the confessant declared that he persisted fully with the content of his aforementioned voluntary confession, without desiring the slightest alteration, furthermore when the confessant was asked by the officer whether he did not know that he wasn’t allowed to buy slaves, or claim to buy, even less to send from outside to within the city before the true enslaveability of the lijfijgene has first been satisfactory proven, had answered that I have not bought that jongen, but sent him truthfully to the city, in order to come later with the owner and show dito slave to the honourable lord commander.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",3,172
"Of den deposant niet naelaetig is geweest, ter bestemder tijd daer weeder te verscheinen?",Whether the deponent has not been negligent in returning there in the right time?,"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",9,14
"Advoueert, des req:ts gedaan versoek en ontslaat oversulx de gev: drie mooren Awassa, Cheko, en Coenje Pokre, kost en schadeloos uit haar detentie, en overgeeft den slave jonge Apokre aan sijn wettigen lijfheer, sijnde de tweede gev: moor in name Cheko:.","Acknowledges the petitioner’s done request and as such acquits the three imprisoned Moors Awassa, Cheko and Coenje Pokre, free from cost and compensation, and hands over the slave jongen Apokre to his lawful owner, being the second imprisoned Moor named Cheko.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",6,41
"Des niet tegenstaande houd hij vlaggeman gew: Chego tegen alle regt en reeden aan tot aan den sevenden dag, en zoude denselven seekerlijk nog langer en moogelijk voor altoos als slaaf in zijn huijs gehouden hebben.","Nevertheless the vlaggeman keeps the mentioned Chego contrary to all the laws and reason until the seventh day, and would certainly have kept him for longer and possibly forever as a slave in his house.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",10,36
"Antw: Ik heb de 225. fan:s aan mijn swaeger gegeven, toen ben ik nae Paroe vertrocken.",Answer: I gave the 225 fanums to my brother-in-law; then I left for Paroe.,"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",9,16
"Antw: Neen, ik ben geen slavin van hem, maar nae de dood van mij man ben ik eenige tijd in desselfs huis verbleeven, en op de laatste rijgie krijgende, ben ik van daar weggegaan.","Answer: No, I am not his slave, but after the death of my husband I stayed for some time in his house, and after getting rijgie I left from there.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",5,34
Antw: Antij heeft mij selvs den jongen met een ola over gegeven.,Answer: Antij himself gave me the jongen with an ola.,"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",9,12
Bij den [get.] gev: Itti selvs gesteld.,[signed] Set down by the prisoner Itti himself.,"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",4,7
"Extract crimineele rolle, N:o 25.","Extract criminal roll, Number 25.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",6,5
"En daarom zal den eijsscher onder welduijden het vervolg daar van, om niet te lang te vallen, maar overslaan.","And therefore the eijsscher will, with permission, just skip the continuance [of
events] to keep it short.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",10,19
"Present alle de leeden, demptis den capitain militair Renicus Siersma, benevens d’ondercooplieden Francois Terburg, en Abraham van Dewelle, de twee eersten door indispositie, en den laesteren in commissie.","Present all members, except the military captain Reinicus Siersma, besides the onderkooplieden Francois Terburg and Abraham van Dewelle, the former two by indisposition and the latter in commission.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",3,28
"Antw: Volgens ’t getuijgenis van den gev: Jano, dat hij hem kende, en dat dit sijn slaaf was.","Answer: According to the declaration of the prisoner Jano, that he knew him and that this was his slave.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",9,18
"Den Raad het schriftelijk dictum van den req:t ex officio, en verdere papieren, mitsgaders het mondeling antwoord der gev:, in judicio uitgesproken, aangehoort, en verders op alles aandagtelijk gelet hebbende, waarop in desen teletten stond; na versameling der vota, tot het pronuncieeren van het diffinitief vonnis tredende, en regt doende uit name ende van wegen haar hoog mogende, de heeren Staaten Generaale, den Vrije Vereenigde Nederlanden etc etc.","The Council has heard the written dictum of the petitioner ex officio and other papers, as well as the oral answer of the prisoners, given in judicio, and furthermore having paid careful attention to everything that required attention here, after collection of the votes, pronouncing the final verdict, and doing justice in the name of her high mighty, the lords States General, the Free United Netherlands etcetera etcetera.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",6,68
"Antw: Ja, voor soo verre, dog ik heb mijn beswaarnis te kennen gegeven, maar geen gehoor gekregen.","Answer:Yes,to a certain extent, but I did express my objection, however was not heard.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",10,17
"Compareerde voor de naegem: gecommitt:de leeden uit den agtb: Raad van Justitie deser steede de moor Coenje Pokre, woonagtig op Cochim de Sima; dewelke onder verthoning van den moor Awassa, die hij betuigd wel te kennen, door vertaling van den jo: tolk in de Mallabaarse taal vrijwillig bekende,: hoe dat van desen morgen, de voorm: moor Awassa hem confessant roepende, om met denselven in geselschap na de stad te gaan, den confessant dit versoek heeft ingewilligd, en voorts, niet en weet wat er tusschen Abassa en Cheko wegens ’t verkopen van de slaaf is voorgevallen eenelijk heeft gehoort, Awassa 11:’ ropias moest ontvangen van Cheko, en dat de voorm: mooren nevens de slave jonge, en confessant, tegelijk in arrest sijn gebragt, sonder dat den confessant iets misdaan heeft.","Appeared before the undermentioned delegated members of the honourable Council of Justice of this city the Moor Coenie Pokre, living in Cochim de Sima; who, after being shown the Moor Awassa, confessed to know him, by translation of the junior interpreter in the Malabarian language, confessed voluntarily, how this morning the mentioned Moor Awassa called for the confessant in order to go with him to the city; the confessant agreed to this request, and, further, not knowing what happened between Abassa and Cheko during the sale of the slave, has heard that Awassa had to receive 11 ropias from Cheko and that the mentioned Moors, as well as the slave jonge and confessant, were arrested at the same time, without the confessant having done any wrong.","You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",6,128
