Label,length,input,human-expert,Llama & Assistant,Llama 3 Unsloth,mistral unsloth,mistral-7B-instruct-v0.3,,,Evaluation Human-expert,Evaluation Llama& Assistant,Llama 3 Unsloth,Mistral Unsloth,Mistral Base
9,28,"Soo meede dat hij met sijn terug komst van Chettua op Cranganoor gehoord hebbende, dat nae hem gesogt wierd, uit vrees voor straf nae Paroe niet gevlugt is?","Whether when he heard upon his return from Chettua to Cranganoor that he was wanted, he did not flee to Paroe out of fear of punishment?","['Therefore he also states that, when he heard upon his return from Chettua that he was being searched for, out of fear for punishment he had fled to Paroe, not to Crangano']","['Heard also that when he returned from Chettua to Cranganoor, they had looked for him, out of fear he had fled to Paroe?']","['Should he not have fled to Paroe out of fear of punishment, when he heard on his return from Chettua to Cranganoor that he was searched for?']","['Did he not flee to Paroe out of fear of punishment, having heard of his return from Chettua at Cranganoor?']",,,,,,,
2,28,"dat zij buiten gekoomen door hem gevraagd was geworden, of zij een slaave meisje /: welke haar in judicio vertoond zijnde zij voor het zelfde erkende/ wilde koopen?","that she, having come outside, was asked by him whether she wanted to buy a slave girl (whom she recognized when she was shown to her in judicio).","['Whether she, when she came out, had been asked by him whether she wanted to buy a slave girl (which was shown to her in judicio and which she recognized), or whether it']","['That she, after having been asked by him, whether she wanted to buy a slave girl (who was shown to her in judicio, whom she recognized as being the same)']","['That she, having gone outside, was asked by him whether she wanted to buy a slave girl (who was shown to her in judicio and whom she recognized as the same)?']","['Was she asked to come out by him, whether she wished to buy a slave girl who had been presented in court and was recognized by herself?']",,,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes ,1. yes 2.  yes 3. yes 4. yes 'buiten gekoomen' lost ,1. yes 2. no 3. yes 4. yes ,1. no 2. no 3. yes 4. yes structure mistranslated
2,28,"Des gevangenes bijde delicten uweled: achtb:s door den rat: off: eijscher voorgesteld zijnde, zo zal hij als nu progredieren die, daarop bepaalde straffen aantehaalen en daar na concludeeren","The crimes of both prisoners have been presented to you honourable gentlemen by the eijscher in his official capacity, so now he will proceed to cite the determined punishments and to conclude afterwards.","['The prisoners mentioned in the articles, brought forward to your honourables by the eijscher, being so, he will now progredieren, who, will now mention the punishments that were determined upon and']","['The prisoner’s both crimes presented to you honourables by the prosecutor in his official capacity, so he will now progress those that comply with the designated punishments and conclude with those.']","['The prisoner’s both crimes proposed to you honourable gentlemen by the eijscher in his official capacity, will thus continue to progress, to propose the prescribed punishments and conclude on that.']","['The accused, along with their offenses, shall be considered by the council, or else presented by the judge. He will then proceed to impose the penalties that have been determined, and conclude accordingly.']",,,,,,,
1,28,"Menschen diefte werd gestraft soo wel bij de goddelijke als ook allen andere landen wetten met de dood, gelijk ons ook kennelijck in dese woorden geleert wer[t] teweten.","Human theft was punished by death, by divine as well as all other countries’ laws, as we were taught to know in these words.","['People who steal are punished both by the divine as well as all other countries’ laws with the death, just as we are also evidently taught in these words.']","['People who steal humans were punished as well by the divine as all other countries’ laws with death, as we have already been taught in these words [by] teweten.']","['Humanity theft is punished both by the divine as well as all other countries’ laws with death, as we have learned from these words.']","[""People who stole were punished, both according to divine and also all other countries' laws with death, as we also evidently learn from these words.""]",,,,,,,
9,29,"Waarmeede den eijsser, naer Z: E: agtb: versogt te hebben, om ’t manqueerende in desen ex off:o te willen suppleren, vermeent bevoegt te sijn, met goed regt te mogen","And with this, the eijsser, after having requested your honourables to supplement that what is missing ex officio, considers himself authorized to rightfully","['Whereby the eijsser, having sought after your honourable’s permission, to be able to supplement the lacking in this case by offiction, believes to be qualified, with the right\nto']","['With this the eijsser, after having requested your honourable’s permission to supplement the lacking in this ex officio, believes to be allowed to request the addition of the documents, so as to be able to present the']","['With which the eijsser, after having requested of your honourables to supplement the lacking in this case ex officio, seems to be qualified and allowed to be']","['Wherefore the issuer, after Z: E: agtb:, seems to have intended to remedy the deficiency in this ex officio order, appears to be authorized, with good right, to do so.']",,,1. yes 2. no 3. no 4. yes 'eijsser' not translated,1. yes 2. yes 3. no 4. yes 'eijsser' niet vertaalt 'ex officio' not translated ,1. no 2. no 3. yes 4. yes 'eijsser' not translated the last part is added,1. yes 2. yes 3. no 4. yes 'Z E Agtb' not translated,1. yes 2. yes 3. yes 4. yes 'Z: E: agtb' not translated 
10,29,Werd hij relatant gevraagt of hij de nodige permissie van den E:E: agtb: heer commandeur en oppergebieder deser custe tot het koopen van slaven heeft versogt en ook verkreegen.,The testifier was asked whether he had requested and received the required permission to buy slaves from the honourable lord chief commander of this coast?,['He was asked whether he had requested the necessary permission of the honourable lord commander and chief administrator of this coast to buy slaves and whether he had obtained this.'],"['The testifier was asked whether he asked the necessary permission from the honourable lord commander and chief of this coast to buy slaves, and also obtained it?']",['The testifier was asked whether he had requested the necessary permission of the honourable lord commander and chief commander of this coast to buy slaves and also obtained it?'],['Was he required to ask for the necessary permission from the E:E: agtb: lord commander and supreme commander of this cost to buy slaves and did he also obtain it?'],,,,,,,
9,30,"Of den gev: van daer op een sekeren dag bij den christen Colatta Tarre Antij op Eddaw[i]necoetoe nae gewoonde gekomen sijnde, twee daegen daer in sijn huijs niet gebleven is?","Whether when the prisoner came from there to the Christian Colatta Tarre Antij at Eddawinecoetoe on a certain day, he has not stayed in his house for two days?","['Whether the prisoner had arrived on a certain day at the house of the Christian Colatta Tarre Antij at Eddawenkoetoe, where he was staying, and whether he had left two there against whom there']","['Whether the prisoner, on a certain day, after usual hours, came to the Christian Colatta Tarre Antij in Eddaw[i]necoetoe, and stayed there for two days?']","['Whether the prisoner, arriving on a certain day at the house of the Christian Colatta Tarre Antij in Eddawinecoetoe, where he usually came, had not stayed two days in his house?']","['Did he stay for two days in the house of the Christian Colatta Tarre Antij at Eddaw[i]necoetoe, as was his custom, on a certain day?']",,,1. yes 2. yes 3. yes 4. no 'nae gewoonde' lost ,1. no 2. yes 3. yes 4. no translation does not make grammatical sense ,1. yes 2. no 3. yes 4. no,1. yes 2. no 3. yes 4. no,1. no 2. no 3. yes 4. no the sentence structure was changed but retained its meaning
2,30,"Aldus gerecolleerd en gepersisteerd binnen de stad Koetsiem ter ordinare Raadkamer der Justietsie op woensdag den 31:e juli 1792 in presentsie van d:e:s Pieter Elstendorp en Johan Christiaan Frischbier, leden.","Thus verified and persisted with in the city of Koetsiem at the ordinary Chamber of Justice on Wednesday, 31 July 1792 in the presence of the honourable Pieter Elstendorp and Johan Christiaan Frischbier, members.","['Thus verified and persisted with in the city of Koetsiem in the ordinary Chamber of Council of the civil government on Wednesday, 31 July 1792 in [the] presence of the honourable Pieter Elstendorp and Johan']","['Thus verified and persisted with in the city of Koetsiem before the ordinary Chamber of Council of Justice on Wednesday, 31 July 1792 in [the] presence of the honourable Pieter Elstendorp and Johan Christiaan Frisch']","['Thus verified and persisted with in the city of Koetsiem by the ordinary Chamber of council of Justice on Wednesday, 31 July 1792 in [the] presence of the honourable Pieter Elstendorp and Johan Christiaan Frisch']",['Thus recalled and persisted within the city of Coetsiem to the Ordinary Council Chamber of Justice on Wednesday the 31st of July 1792 in the presence of Mr. Pieter Elstendorp and Mr. Johan Christiaan Frisch'],,,,,,,
10,31,"Considereert men het bovenste gedeelte, dat ons onderwijst, en waar door wij ons vernuftig noemen, zal zig niet meer verwonderen of die algemeene afkeer die de menschen hebben tegen de slavernij.","[If] one considers the above section, which educates us, and whereby we call
ourselves ingenious, one will no longer wonder about the general disdain that people have for slavery.","['Should one consider the uppermost part, that instructs us, and by which we name our faculties, one will not wonder or be surprised by that general repugnance that has peoples against sla']","['If one considers the upper part of this, that teaches us, and by which we consider ourselves clever, [one] will no longer be surprised by the general aversion that people have towards slavery.']","['Consider the upper part, which teaches us, and which calls for our reason not to wonder at the general aversion that people have for slavery.']","['Considering the upper part, which teaches us, and by which we call ourselves rational, will not surprise him that the general aversion that people have towards slavery.']",,,,,,,
10,31,"Werd hij deposant gevraagt of hij en den gev: in de stad komende niet eerst bij iemand anders aan huis zijn geweest, alvoorens na ’t huis van den vlaggeman te gaan.","The deponent was asked whether he and the prisoner first went to someone else’s house after arriving in the city, before going to the house of the vlaggeman?","['The deponent was asked whether he and the prisoner, when they came to the city, had not first gone to another person’s house before going to the house of the vlaggeman?']","['The deponent was asked whether, when they came to the city, they did not first go to someone else’s house, before going to the vlaggeman’s house?']","['The deponent was asked whether, when coming to the city with the prisoner, they had not first been at someone else’s house before going to the house of the vlaggeman?']","[""Was he asked if he and the prisoner had not first visited anyone else's house before going to the flagman's house?""]",,,1. yes 2. yes 3 yes 4. no . 'vlaggeman' was not translated ,1. yes 2. yes 3. yes 4. no 'vlaggeman' was not translated ,1. yes 2. yes  3. yes 4. no. The 'prisoner'was lost  'vlaggeman' was not translated,1. yes 2. no 3. yes 4. no 'vlaggeman' was not translated ,1. no 2. no  3. yes 4. no sentence structure was changed to a question
2,32,"Dus zij tweede gevangene toen nog niet teegenstaande zij bereeds overtuigd was geen ola van ‘t meisje te exteeren , heeft kunnen goedvinden het meisje volgens haare eigene confessie vier daagen aantehouden","Thus, she the second prisoner, being convinced that there did not exist an ola for the girl, nonetheless had consented to keep the girl for four days, according to her own confession.","['Thus she allowed, despite her opposition, the girl to be kept with her for four days according to her own confession.']","['Thus the second prisoner, despite being convinced that she could not obtain an ola for the girl, had been able to agree to keep the girl according to her own confession for four days.']","['Thus she the second prisoner, still not withstanding that she already was convinced that she could not exert an ola for the girl, could find it in her heart to keep the girl according to her own confession for four days.']","['Thus the second prisoner, who had not yet opposed himself, as he had already been convinced that he would not extract an oath from the girl, was able to keep the girl, according to his own confession, for four days.']",,,,,,,
9,32,"Hoe of nu dese beijde streijdende opgaven van den gev: over een moeten gebragt werden kan den eijsser niet begrijpen, maer dat alle beijde in klaere leugens bestaan is ligt te buijten.","The eijser cannot understand how these contradicting testimonies of the prisoner should be reconciled, but that both are clear lies is obvious.","['How or when these two testifiers would have been brought in to hear these allegations by the prisoner, could not be understood by the eijsser, but that all these are obvious lies is evident to see.']","['How or now these both postulations by the prisoner that he cannot understand one has to bring to the eijsser, but that both of these are in clear lies, is obvious.']","['How or now these two contradicting claims of the prisoner could have been brought forward, the eijsser cannot understand, but that all are clear lies.']","['He cannot understand how or now these two contending claims of the governor could have been brought forward, but that both of them exist in plain lies is beyond doubt.']",,,1. yes 2. yes 3. yes 4. no 'eijsser' not translated ,1. no 2. yes 3. yes 4. yes 'opgaven' mistranslated as testifiers   'eijsser' not translated structure mistranslated ,1. no 2. yes 3. yes 4. no structure mistranslated 'eijsser' not translated ,1. yes 2. yes 3. yes 4. no 'over een gebragt' mistranslated as brought forward 'eijsser' not translateed,1. yes 2. yes 3. no 4. no 'gev' mistranslated as governor
9,32,"Of den deposant hem Aura daerop belovende, tselve ten eersten te sullen geven, denselven een ola aan den deposant niet heeft gesz:, versoekende daerbij, die saek volgens gedaene belofte spoedig afte maeken?","Whether the deponent promising to give this first to Auro, he then did not swear on an ola for the deponent, requesting with that to complete the affair as soon as promised?","['Whether the deponent, promising him the Aura thereupon, did not give it to him self first, whether he did not ask for an ola from the deponent, requesting him to make it soon?']","['Whether the deponent, Aura promising him that he will be the first to give him him, did not give him an ola, and whether he, requesting the opposite, did not finish that business quickly according to the promise?']","['Whether the deponent, after the deponent had promised Aura to give him her firstborn, did not write an ola for him, requesting that matter to be concluded as soon as possible according to that promise?']","['Has the depositor promised Aura to give it to him first, and yet has not given him an olive oil as promised, asking for it to be made soon according to the given promise?']",,,,,,,
2,32,"Het welke den rat: off: eijscher uweled: achtb: met des tweedes gevangene gedaane responsiven op die haar voorgehoudene vraag poinkten sub G: hoe ingewikkeld dezelve ook zijn vertrouwd te kunnen daar stellen,","Which the eijscher in his official capacity trusts that you honourables can determine, from the responses of the second prisoner to the sustained questions under G., however complicated these are,","['Which, after it was read to them again, the second prisoner is able to answer as follows,\nafter it was read to them again,']","['Which the prosecutor in his official capacity honoured you honourables with the prisoners’ answers to the questions asked and confirmed substantively under letter G, how trusted one can be to rely on these,']","['Which shows that the eijscher in his official capacity will be able to hold up to her the put forward questions, poinkten under letter G, to the second prisoner, according to her given responses in this.']","[""The which the council: or: the judge-advocate: esteemed: with the second prisoner's given responses on those that he had previously posed questions, pointed out sub G: how complicated the matter could be to be able to establish,""]",,,,,,,
2,33,"Of zij zulks niet voor bedagtelijk gedaan heeft gehad, omdat haar al te wel bewust was dat zij het meisje niet mogt aanhouden sonder den interrogant daar van terstond kennis te laeten toekomen?","Whether she had not done this with premeditation, because she was very well aware that she was not allowed to keep the girl without informing the interrogator?","['Whether she had not planned to keep the girl, because she was aware that she could not keep the girl without the interrogator being aware of this?']","['Whether she had not done so deliberately, because she was so sure that she could not keep the girl that she let it immediately become known to the interrogator?']","['Whether she had not done this by premeditation, because she was well aware that she could not keep the girl without immediately making it known to the interrogator?']","['If she had not done it without forethought, because she was all too aware that she could not keep the girl without the interrogator being informed of it immediately?']",,,1. yes 2. no 3. yes 4. yes,1. no 2. no 3. yes 4. yes sentence is slightly different but similar meaning,1. no 2. yes 3. yes 4. yes the last part is poorly structured,1. yes 2. no 3. yes 4. yes ,1. yes 2. no 3. yes 4. yes
2,33,"Onverminderd het officie en prudentie van den regter om na geleegentheid van de omstandigheeden, persoonen, als anders ook wel een mindere straffe te mogen decerneeren, zoals denselven in conscientie zal bevinden te behooren.","Not withstanding the office and prudence of the judge to impose, according to the circumstances, people, or anything else, a lesser punishment, as he in his good conscience shall deem suitable.","['Notwithstanding the office and prudence of the judge to have to decide on the particular circumstances, persons or others who may deserve a lesser punishment, as the same shall appear to him in his conscience to belong.']","['Undeterred the official and prudence of the judge to, after consideration of the circumstances, persons and also sometimes to deem a lesser punishment, as he will find to belong to his conscience.']","['Notwithstanding the office and prudence of the judge to be able to decern a lesser punishment according to the opportunities of the circumstances, persons, or otherwise, as he will find to be fitting.']","['Notwithstanding the office and prudence of the judge to determine, according to the circumstances, the persons, as well as to be able to decree a lesser penalty, as seems to be required in conscience.']",,,,,,,
5,33,"Antw: Ik heb sij in de stad gebragt, en om dat sij een slavin van mijne vrunden was, heb ik gemeent haar te verkopen, en het geld bij occagie aan deselve te restitueeren.","Answer: I had brought her into the city, and because she was a slave of my friends, I intended to sell her and to refund the money on occasion to him.","['Answer: I have brought her into the city, and because she was a slave woman of my vrunden, I have tried to sell her and to return the money to her in the same occasion.']","['Answer: I took her to the city, and because she was a slave of my friends, I commisioned her for sale, and to return the money to her.']","['Answer: I brought her to the city, and because she was a slave of my friend’s, I put her up for sale in the city, and restored the money to her by occagie.']","['Answer: I brought her into the city, and since she was a slave of my friends, I intended to sell her, and restore the money to them upon occasion.']",,,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes ,1. no 2. yes 3. yes 4. yes mistranslated ,1. no 2. yes 3. yes 4. yes the person the money is to be restored to is mistranslated 'occagie' not translated,1. yes 2. no 3. yes 4. yes 
9,34,Den Raad alvoorens in desen te voteeren heeft goed gevonden en verstaan de stucken van ged:te proces aan de leeden ter lesing en examinatie rond te senden /:onderstond:/ accordeert /:was get::/ Jacob:s Meijn sec:s.,"The Council before voting in this matter has approved and decided to distribute the documents of this trial to the members to read and examine [standing below] approved [was signed] Jacob.s Meijn, secretary.",['The Council having voted in favour of the resolution first proposed hereby permits the documents of the proceedings to be sent around to the members for reading and examination [and thus] approves [signed] Jacob.s Meijn secretary.'],"['The Council before voting on this has permitted to understand the documents of the aforementioned process and to send them for reading and examination to the members [signed] accordeert [was get.] Jacob.s Meijn, secretary.']","['The Council before voting on this has permitted and understood to send the documents of the deposited process around to the members for reading and examination [standing below] approved [was signed] Jacob.s Meijn, secretary.']","[""The Council, before voting on this matter, has found it good and understands that the articles of the aforementioned legal process should be sent to the members for reading and examination. Agrees Jacob's secretary.""]",,,,,,,
6,34,"Aldus gerecollert, en gepersisteert binnen de stad Cochim, ter ordinaris Raadcamer op den 16:e maart, anno 1743, in presentie van de E:s Warmold Stuermansz, en Stephanus van Zuijlen beijde leeden uit den Raad voorm:d.","Thus verified and persisted with, within the city of Cochim in the ordinary Chamber of Council on 16 March 1743, in the presence of the honourable Warmold Stuermansz and Stephanus van Zuijlen, both members from the aforementioned council.","['Thus verified and persisted with in the city of Cochim, in the ordinary Chamber of Council on 16 March 1743, in the presence of the honourable Warmold Stuermansz, and Stephanus van Zuijlen, both members of the']","['Thus verified and persisted with in the city of Cochim, at the ordinary Chamber on 16 March 1743, in the presence of the honourables Warmold Stuermansz and Stephanus van Zuijlen, both members of the aforementioned Council.']","['Thus verified and persisted with in the city of Cochim at the ordinary chamber of council on 16 March in the year 1743, in the presence of the honourable Warmold Stuermansz and Stephanus van Zuijlen, both members of the afore']","['Thus collected and persisted within the city of Cochin, at the ordinary Council Chamber on the 16th of March, in the year 1743, in the presence of the gentlemen Warmold Stuermansz and Stephanus van Zuijlen, both members of']",,,,,,,
9,34,"Wijders door voorm: officier aan hem deposant gevraegt sijnde, oft vervoeren van hem door den christen Jano met bewilliging van den mede christen Antij is geschiet, soo heeft den deposant daerop g’antwoord van neen.","Furthermore the aforementioned officer asked him whether his abduction by the Christian Jano was done with the consent of the fellow Christian Antij, upon which the deponent answered no.","['Thereafter the deponent was asked by the aforementioned officer, whether or not the abduction of him by the Christian Jano with consent of the fellow Christian Antij had taken place, thus the deponent answered, no.']","['Additionally by the aforementioned officer asked the deponent whether the transportation of him by the Christian Jano with the consent of the fellow Christian Antij has occurred, so the deponent answered no.']","['Furthermore, when the aforementioned officer asked him deponent whether he was taken by the Christian Jano with the consent of the fellow Christian Antij, he answered no.']","['In response to further inquiry by the officer, the deposant was asked if he had been transported by the Christian Jan with the permission of the co-Christian Antij. The deposant responded with a no.']",,,1. yes 2. no 3. yes 4. yes,1. no 2. no 3. yes 4. yes the sentence structure could be better,1. no 2. no 3. yes 4. yes Sentence structure is not good,1. no 2. no 3. yes 4. yes sentence structure could be better,1. yes 2. no 3. no 4. yes the name 'jano' was changed to 'jan' 
10,35,"Zoo zoude men al eens verondersteld zijnde, den ragiadoor zulks gesegt hadde, hij iets buijten zijn vermoogen soude hebben ondernomen, behalven dat hem sulks bij de koning van Cochim seer qualijk zoude zijn genomen geworden.","Even if one would presume [that] the ragiadoor had said such, he would have undertaken something beyond his power, other than [the fact] that the king of Cochim would have admonished him for such.","['Thus presuming [that] the ragiadoor had said such, he would have undertaken something beyond his capabilities, providing that this would have been heavily punished by the king of Cochim.']","['One would have assumed thus, that the ragiadoor had said such, he would have undertaken something beyond his ability, except that this would have been severely disapproved by the king of Cochim.']","['Supposing one were to suppose, the ragiadoor would have said such, that he had undertaken something beyond his means, except that such would have been qualijk with the king of Cochim.']","['If it were supposed that the rajah had said such a thing, he would have undertaken something beyond his means, except that it would have been very displeasing to the king of Cochin.']",,,,,,,
10,35,Daar en boven is den gev: soo wel als de geringste van zijn natie seer wel bekent dat de magt van een simpel ragiadoor soo ver niet strekt om iemand buijten schult tot slaaf temaeken.,"Besides, the prisoner as even the least of his nation is very well familiar with the fact that the power of a simple ragiadoor does not reach so far as to enslave someone without debt.","['There and above all is known to the prisoner as well as the least of his nation, that the power of a simple ragiadoor extends no further than to hold someone accountable for debt until he is']","['There and above, the prisoner and even the least of his nationality are well aware that the power of a simple ragiadoor does not extend to enslave anyone.']","['Furthermore, the prisoner and the least of his nation are very well known that the power of a simple ragiadoor does not reach to enslave someone against their schult.']",['There and above is the governor: so well as the least of his nation is very well known that the power of a simple regiment commander does not extend to making someone outside the school a slave.'],,,1. yes 2. no 3. yes 4. yes ,1. no 2. yes 3. yes 4. yes mistranslated ,1. yes 2. no 3. yes 4. yes ,1. yes 2. yes 3. yes 4. yes 'schult' not translated ,1. yes 2. yes 3. no 4. yes 'ragiadoor' not retained 'schult' mistranslated as school 
10,35,"Moeste hij den gev: en den Chego volgens de ordre van het placcaat niet aanstonds bij den tolk ter examinatie gebragt hebben, temeer gem: Ittamen aan desselfs huijs vrouw verklaart heeft, geen slaaf te zijn.","Should he not have immediately brought the prisoner and the Chego to the interpreter, according to the order of the placard, for examination, all the more [because] the mentioned Ittamen declared to his housewife that he was not a slave?","['He should have immediately brought the prisoner and the Chego to the interpreter for examination, even more so after the mentioned Ittamen had declared that he was no slave.']","['Was he not supposed to immediately hand over the prisoner and the Chego to the interpreter for examination according to the ordinance of the placard, even more so since Ittamen declared to his housewife not to be a slave?']","['Should he not have brought the prisoner and the Chego immediately to the interpreter for examination, even if the mentioned Ittamen declared to his housewife that he was not a slave?']","['He should have brought the prisoner and the accused, according to the order of the decree, immediately before the interpreter for examination, especially since it was also declared by his own wife that he was not a slave.']",,,,,,,
10,36,"Een bekende zaak zijnde dat de conscientieloose Mallabaren weijnig swarigheijd maeken, den eenen of anderen vrijen mensch door haare loose streeken te verlokken en aan zulke rontzelaars als den vlaggeman bethoond te zijn, tragten te verkoopen.",It being a known fact that the unscrupulous Malabarians have little objection to luring a free person with their foul trickery and trying to sell them to such recruiters as the vlaggeman appears to be.,"['A known case being that the conscientieloose Malabarian swarigheijd maeken, by coaxing the one or other vrijen human being through her loose streeken and by inciting such entrepreneurs as the vlaggeman has been proven to be']","['A known fact that the conscience-free Malabarians make little account of frugality, enticing either of the free humans with their loose spending and trying to sell such spendthrifts to such officers as the vlaggeman.']","['A known fact is that the conscious-less Malabarians make little effort, the one enticing free people with their loose talk to make them susceptible to scoundrels like the vlaggeman, and to try to sell them.']","['A well-known fact is that the conscience-less Malabars make little trouble, luring one or another free person through their loose ways and being handed over to such rogues as the flagman, to be sold.']",,,,,,,
2,37,"Aldus gerecolleerd en gepersisteerd, binnen de stad Koetsiem, ter ordinaire Raadkamer der Justietsie in de tegenwoordigheid van den gevangen Barkie, op dinsdag, den 31:e juli 1792 in praesentsie van d:e:s Pieter Elstendorp en Johan Christiaan Frischbier, leden.","Thus verified and persisted with, within the city of Koetsiem, in the ordinary Chamber of Council of Justice in the presence of the prisoner Barkie, on Tuesday, 31 July 1792 in [the] presence of the honourable Pieter Elstendorp and Johan Christiaan Frischbier, members.","['Thus verified and persisted with, within the city of Koetsiem, in the ordinary Chamber of Council of the government in the presence of the prisoner Barkie, on Tuesday, 31 July 1792 in praesentsie of the honourables Pieter Elstendorp and Johan Christia']","['Thus verified and persisted with, within the city of Koetsiem, by the ordinary Chamber of Council of Justice in the presence of the prisoner Barkie, on Tuesday, 31 July 1792 in [the presence of] the honourables Pieter Elstendorp and Johan Christiaan Frischbier, members']","['Thus verified and persisted with, within the city of Koetsiem, in the ordinary Chamber of Council of Justice in the presence of the prisoner Barkie, on Tuesday, 31 July 1792 in [the] presence of the honourable Pieter Elstendorp and Johan Christiaan Frischbier, members']","['Thus recalled and persisted, within the city of Coetsiem, to the ordinary Council Chamber of Justice in the presence of the prisoner Barkie, on Tuesday, the 31st of July 1792, in the presence of Mr. Pieter Elstendorp and Mr. Johan Christiaan Frischbier,']",,,1.yes 2. no 3. yes 4. yes ,1. yes 2. yes 3. no 4. yes 'christian Frischbier' name is not retained 'preasentsie' is not translated,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes
4,37,"De heijdense Caniaens Ittij en Ittinaen beijde geboortig van Coeroerrnaddoe, d’eerste oud 38, en den tweede 16 jaeren, beijde onderdaenen van ‘tCochims rijk thans ‘sheeren gev:s en ged:s omme over menschen diefte eijsch ad mortem te aanhooren.","The heathen Caniaens Ittij and Ittinaen, both born at Coeroernaddoe, the first aged 38 and the second 16 years, both subjects of the Cochim kingdom, currently the lords’ prisoners and defendants to hear eijsch ad mortem for human theft.","['The heathen Caniaens Ittij and Ittinaen residing in their place of birth, Coeroerrnaddoe, the elder 38 years old and the younger 16 years old, these subjects of the Kingdom of Cochims hearing the prisoners and defendants concerning ad mortem regarding the hearing of cases of human']","['The heathen Caniaens Ittij and Ittinaen, both born in Coeroerrnaddoe, the first old 38 years, and the second 16 years, both subjects of the Cochin kingdom, currently the lords’ prisoners and defendants to hear an eijsch about human theft.']","['The heathen Caniaens Ittij and Ittinaen, both born in Coeroerrnaddoe, the first 38 years old, and the second 16, both subjects of the Cochim kingdom, currently their honours’ prisoners and accused to hear an eijsch ad mortem for human theft.']","[""The Canaanites Ittij and Ittinaen, both natives of Coeroerrnaddoe, the first being 38 years old, and the second 16 years old, were both subjects of the Cochim's kingdom, now serving as shepherds and guards to punish thieves and murderers""]",,,,,,,
8,38,"Aldus gerecolleert gepersisteert nader gevraegd ende b’antwoord, binnen de stad Cochim ter ordinaris Raadcamer op den 11:e julij anno 1743. in presentie van de E: Johannes van Dooreslaar, en Jan Jansen Lemmet, beijde leeden uit den Raad voorm:.","Thus verified, persisted with, questioned and answered, within the city of Cochim, at the ordinary Chamber on 11 July 1743 in the presence of the honourables Johannes van Dooreslaar and Jan Jansen Lemmet, both members of the aforementioned Council.","['Thus verified, persisted with, questioned and answered within the city of Cochim at the ordinary Council chamber on 11 July 1743 in the presence of the honourable Johannes van Dooreslaer and Jan Jansen Lemmet, sworn members of the aforementioned Council']","['Thus verified, persisted with, questioned and answered, within the city of Cochim at the ordinary chamber of the Council on 11 July 1743 in the presence of the honourables Johannes van Dooreslaar and Jan Jansen Lemmet, both members of the aforementioned Council.']","['Thus verified, persisted with, questioned and answered, within the city of Cochim at the ordinary Chamber on 11 July 1743 in the presence of the honourables Johannes van Dooreslaer and Jan Jansen Lemmet, both members of the aforementioned Council.']","['Thus recalled and persisted, as requested, and in response, within the city of Cochin at the ordinary Council Chamber on the 11th of July, 1743. In the presence of the E: Johannes van Dooreslaar, and Jan Jansen Lemmet, both members of the Council before']",,,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3. yes 4. yes,1. yes 2. no 3 yes 4. yes ,1. yes 2. yes 3. yes 4. yes 'E;' not translated
2,38,"Aldus gerecolleerd en gepersisteerd binnen de stad Koetsiem ter ordinaire Raadkamer der Justietsie in de tegenwoordigheid van den gevangen Barkie, op den dag den 31:e juli 1792, in praesentsie van d:e:s Pieter Elstendorp en Johan Christiaan Frischbier, leden.","Thus verified and persisted within the city of Koetsiem at the ordinary Chamber of Justice on Wednesday, 31 July 1792 in the presence of the honourable Pieter Elstendorp and Johan Christiaan Frischbier, members.","['Thus verified and persisted with in the city of Koetsiem in the ordinary Chamber of Council of the district of justice in the presence of the prisoner Barkie, on the day, 31 July 1792, in the presence of the honourable Pieter Elstendorp and Johan Christiaan']","['Thus verified and persisted with in the city of Koetsiem before the ordinary Chamber of Council of Justice in the presence of the prisoner Barkie, on the day of 31 July 1792, in the presence of the honourables Pieter Elstendorp and Johan Christiaan Frischbier,']","['Thus verified and persisted with in the city of Koetsiem in the ordinary Chamber of Council of Justice in the presence of the prisoner Barkie, on the day 31 July 1792, in [the] presence of the honourable Pieter Elstendorp and Johan Christiaan Frischbier,']","['Thus recalled and persisted within the city of Coetsiem at the ordinary Council Chamber of Justice in the presence of the prisoner Barkie, on the day the 31st of July 1792, in the presence of Mr. Pieter Elstendorp and Mr. Johan Christiaan Frischbier,']",,,,,,,
