system,prompt,chosen,rejected,length,Label
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",Gesch: bij coemaren Baloe. Niet getekent.,Written by Coemaren Baloe. Not signed.,Event: at Kumberg Baloe. Not signed.,6,4
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Antw: Miram, geboortig van Coilangs Paroe, oud omtrend 20. jaaren, woonagtig op Poelikare noordewaarts Paroe, onderdaan van de Coning signattij.","Answer: Miram, born in Coilangs Paroe, age around 20 years, residing in Poelikare north of Paroe, subject of the king Signattij.","Answer: Miram, born of Coilangs Paroe, approximately 20 years old, residing at Poelikare north of Paroe, subject of the King signattij.",20,5
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",Copia rol gehouden voor den E: agtb: Raad van Justitie binnen de stad Cochim op Dinsdag den 3: september 1737: ’smorgens den 8: uuren.,"Copy roll kept for the honourable Council of Justice within the city of Cochim on Tuesday, 3 September 1737 in the morning at 8 o’clock.","Copy of the roll held before the Honorable Court of Justice within the city of Cochim on Tuesday, the 3rd of September, 1737, at eight in the morning.",24,3
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Aldus gedaan en gedeposeert binnen de stad Cochim ter ord:s Raadcamer op donderdag den 16. julij 1750, in presentie van d’E: Daniel Bos, en Abraham Gosenson beide leeden uit den Raad voormelt, die de minute deses, nevens den deposant, jo: tolk en mij secrets: hebben ondertekend, /:onderstond:/ ‘twelk getuijgt /:was get::/ Jacob:s Meijn sec:s.","Thus done and deposed in the city of Cochim in the ordinary Chamber of Council on Thursday, 16 July 1750, in the presence of the honourable Daniel Bos and Abraham Gosenson, both members of the aforementioned Council, who have signed the orginal of this together with the deponent, junior interpreter and me the secretary, [standing below] which was declared [signed] Jacob.s Meijn, secretary.","Thus done and deposited within the city of Cochim in the Council Chamber on Thursday the 16th of July 1750, in the presence of the Honorable Daniel Bos and Abraham Gosenson, both members of the aforementioned Council, who alongside the depositor, the young interpreter, and me, the secretary, have signed the minute of this, /:understood:/ as witnessed /:was true::/ Jacob:s Meijn, sec:s.",54,9
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Voor de vertaling uit Portugees, [get.] P: Weijts, J:k Vaz.","For the translation from Portuguese, [signed] P. Weijts, J. K. Vaz.","For the translation from Portuguese, [translated by] P: Weijts, J:k Vaz.",10,8
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",Hebbense die goed daad van gevangene vissen en vogels op tekoopen en hun vrijheijd te schenken aan dese redenloose beesten beweesen.,Have they proven their benevolence to these irrational animals by buying caught fish and birds to grant them their freedom?,They have performed the good deed of purchasing captive fish and birds and granting them freedom to these irrational beasts.,21,10
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",Of den gev: daer en tegen niet moet bekennen d:o meijt tehebben verkogt?,Whether the prisoner should not admit on the other hand to have sold dito meijt?,Of the accused: thereagainst should not confess to have sold the said maid?,13,7
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Of bij ’t transpoort ola van gem: jongen die den relatant heeft geschreven, niet staat ter nedergesteld, dat soo eenige verhinderingen omtrent dese slaef mogten wesen als dan gem: Ausepo als ve[r]kooper van deselve berijd blijft, die verhindering weg te nemen?","Whether in the transport ola of the aforementioned jongen written by the testifier, it is not written that if there would be any hindrances with regard to this slave the aforementioned Ausepo as seller of him remained willing to take those away?","Or, during the transportation of the aforementioned boy who has written to the respondent, does it not stand indicated that should there be any impediments regarding this slave, then the aforementioned Ausepo, as the seller of the same, remains prepared to remove such impediment?",41,9
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",Gesteld bij de moor Awassa [get.].,Set by the Moor Awassa [signed].,Placed at the moor Awassa [sig.].,6,6
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",Antw: Dat weet ik niet.,Answer: I do not know that.,Answer: That I do not know.,5,9
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Corijn Stevens onderkoopman, en fiscael deser commanderije r:o: eijss:r en req:t Contra Den g’arresteerde jood Abraham Assuri tot Cochim de Sima woonagtig benevens de twee Poeliassen coelis Ballon, en Oenianden, alle geregt en ged:t omme te sien dienen van dictum.","Corijn Stevens, second merchant and fiscal of this district, eijsscher, in his official capacity and petitioner
Contra The arrested Jew Abraham Assuri residing at Cochim de Sima, besides the two Poeliassen coelis, Ballon and Oenianden, all judged and accused to see serving of dictum.","Corijn Stevens, underbuyer, and fiscal of this commandery r:o: eijss:r and req:t against the arrested Jew Abraham Assuri residing at Cochim de Sima along with the two Poeliasses, Coelis Ballon and Oenianden, all judged and condemned to see serve dictum.",40,3
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Gelijk incontestabel blijkt bij art: 6. op de vraage of zij geinterrogeerde toen niet teegens Parambil Barkie of eerste gevangene gezegd heeft gehad, laat het meisje twee a drie daagen hier ik zal eenig geld zoeken om u te geeven, tot antwoord diend ja, mits dat hij een ola bragt d’er maar quasi schijnen bijgevoegt te zijn om zich te verontschuldigen.","As appears undeniably in article 6 to the question whether the interrogated had not said to Parambil Barkie or the first prisoner, leave the girl here for two or three days, I will look for some money to give to you, giving the answer, yes, only if he brought me an ola. But which appeared to have only been added to appear less guilty.","As incontestably appears in article 6, to the question of whether the interrogated had not then said to Parambil Barkie or the first prisoner: let the girl stay here for two or three days, I will seek some money to give you, the answer was yes, provided he brought an ola but with the appearance of having added it to excuse himself.",61,2
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Antw: Ik heb anders geen versekering gehad, als volgens t’seggen van den verkoper.","Answer: I am not sure, except for what the seller has said.",Answer: I have had no other assurance but according to the saying of the seller.,13,9
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","In gevalle van Ja, werd hij deposant dan gevraagt, hoe hij zoo onnosel heeft kunnen zijn, vrouw en kinderen zoo gemakkelijk te verlaten, en den gev: op zijn enkelde belofte en schoon schijnende woorden na de stad te volgen?","In case of a ‘yes’, the deponent was then asked, how he could have been so stupid as to leave [his] wife and children and follow the prisoner to the city based on only his promise and charming words?","In case of Yes, he deposant was then asked, how he could have been so naive, to leave wife and children so easily, and the mentioned person on his mere promise and fair-seeming words to follow to the city?",39,10
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Des soo concludeert den eijss:r ampts halven dat den gevangen bij diffinitijf vonisse van ue:achtb: een man des doods verklaard en wijders gecondenmneert sal werden om ten gewoonelijke justitie plaats gebragt zijnde den scherpregter over gelevert, door den selven met de koorde gestraft te werden datter de dood navolgt, verders het doode lighaam tot prooij der voogelen en spiegel van andere buijten aan den wik gehangen te werden, ofte anders als ue: achtb: uijt de deductie van de saacke bevinden zullen tebehooren.","Therefore the eijsser concludes in his official capacity that the prisoner, with certain judgement of your honourable, shall be declared a dead man and furthermore shall be condemned to be brought to the regular place of execution and delivered to the executioner, by whom he will be punished with the rope until death follows, furthermore the corpse shall be hanged on the wik outside to serve as prey for the birds and as an example for others, or else as your honourable will deem to be fitting from the account of the case.","Thus, the prosecutor concludes on behalf of the office that the prisoner by definitive sentence of your honors be declared a man of death and further condemned to be brought to the usual place of justice, handed over to the executioner, to be punished with the cord so that death follows, furthermore that the dead body be hanged as prey for the birds and a warning to others outside at the cross, or otherwise as your honors from the deduction of the case shall deem appropriate.",82,1
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Zeggende tot denselven, dat hij gev: een Chego gebragt had, dien hij gev: aan hem vlaggeman zoude verkoopen, soo dra hij een ola van de koning van Cochim had gekreegen, en dat hij gev: ten dien eijnde na zijn ho:t zoude gaan met versoek aan de vlaggeman om intusschen gem: Chego bij zig tehouden.","Saying to him, that the prisoner brought a Chego, whom the prisoner would sell to the vlaggeman as soon as he obtained an ola from the king of Cochim, and that the prisoner would go to his highness for that purpose with a request to the vlaggeman to keep the mentioned Chego with him in the meantime.","Saying to the same, that he had brought a Chego, which he would sell to him, the ensign, as soon as he had received a letter of authority from the king of Cochim, and that he would go to his home for that purpose with a request to the ensign to keep the aforementioned Chego with him in the meantime.",54,10
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Mij present, [get.] Joan Klijn, secret:s.","In my presence, [signed] Joan Klijn, secretary.","Me present, [signed.] Joan Klijn, secretary.",6,6
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Voor de vertaling, [get.] Dio: Aleweijn.","For the translation, [signed] Dio. Aleweijn.","For the translation, [signed] Dio: Aleweijn.",6,2
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",Bij den [get.] deposant selvs gesteld.Ten mijnen overstaan bij indispositie van,Set by [signed] deponent himself.,By the [signed] deponent himself placed. In my presence due to indisposition of,11,4
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Eijsch en conclusie door den ondercoopman en fiscaal Nicolaas Bowijn, No: 1.","Eijsch en conclusie drawn up by the second merchant and fiscal Nicolaas Bowijn, Number 1.","Demand and conclusion by the sub-merchant and fiscal Nicolaas Bowijn, No: 1.",12,5
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Aldus gevraagt en b’antwoord binnen de stad Cochim ter ordinaris Raadcamer op den 21:e junij anno 1742. In preesentie van de E:s J:n J:b Korsgens, en Gijsbert Jan Feith, beijde leeden uit den Raad voorm:.","Thus questioned and answered within the city of Cochim at the ordinary Chamber on 21 June 1742 in the presence of the honourables J.n J.b Korsgens and Gijsbert Jan Feith, both members of the aforementioned Council.","Thus asked and answered within the city of Cochim in the ordinary Council Chamber on the 21st of June in the year 1742. In the presence of the esteemed J:n J:b Korsgens, and Gijsbert Jan Feith, both members of the aforementioned Council.",35,5
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Antw: ja, hij heeft gesegt, ik wil jou niet langer in huis houden ghij kond maar heenen gaan.","Answer:Yes,he said,I do not want to keep you in [my] house any longer you can go away.","Answer: yes, he has said, I do not want to keep you in the house any longer, you may as well go away.",18,7
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Eijndigende hier mede den depos:t zijne gegevene deposit: die hij verklaart te wesen de opregte en sincere waarheijt over zulx bereijt blijft, deselve wanneer ’t vereijscht nader met eede gestant te doen.","The deponent ending herewith his given testimony, which he declares to be the sincere and honest truth, he remains willing to reaffirm this when he is required to in the future.","Hereby ending the deposition given, he declares that to be the upright and sincere truth, over which he remains prepared to stand by the same under oath when required.",32,1
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ",Opgelegt in Raede van Justitie ter steede Cochin den 2 sept:er 1737.,"Appointed in Council of Justice of the city Cochin, 2 September
1737.",Imposed in the Court of Justice at the city of Cochin on the 2nd of September 1737.,12,3
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Dat de kapitainsvrouw geantwoord had een Malabaar die mij geld schuldig is heeft het meisje hier gebragt, waarom zij daarop gevraagd had of zij het meisje gekogt had?","That the captain’s wife had answered, that a Malabarian who owes me money has brought the girl here, for that reason she had thus asked whether she had bought the girl.","That the captain's wife had answered a Malabaar who owes me money has brought the girl here, upon which she thereafter asked whether she had bought the girl?",28,2
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Of zij niet zelfs bij haar gerecolleerde verklaering heeft opgegeven gehad, dat toen Parambil Barkie met het meisje bij haar gekoomen was, zij den selven de ola heeft afgevraagd gehad, en dat Barkie daar op geantwoord had geen ola te hebben?","Whether she did not confess herself that when Parambil Barkie came with the girl to her, that she asked for an ola and that Barkie answered that he did not have an ola?","Whether she herself had not declared in her recollected testimony, that when Parambil Barkie had come to her with the girl, she had asked him for the ola, and that Barkie had answered having no ola?",41,2
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Voor de vertaeling, [get.] S: Weijts, jo: tolk.","For the translation, [signed] sir Weijts, junior interpreter.","For the translation, [signed] S: Weijts, sworn interpreter.",8,6
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Waarnae door den officier aen hem deposant zijnde afgevraegt, of ter tijd wanneeer hij deposant binnen deser steede van de wooning van dien soo genaomde blanke man met dikke beenen is gebragt geworden, ged:te man geslaepen heeft, en eerst een poosje tijds naar des deposants arrive voor den dag gekomen, dan wel of d:o man present is geweest heeft hij deposant g’antwoord, soo drae ik ben boven gekomen heb ik de blanke man met de dikke beenen op een stoel sien zitten.","When the deponent was asked by the officer if at the time when the deponent was brought into this city in the house of the so-called white man with thick legs, the aforementioned man was sleeping, and had appeared only after some time after the deponent had arrived, or whether dito man was present, the deponent had answered, as soon as I came upstairs I saw the white man with thick legs sitting on a chair.","Whereupon being asked by the officer to him deponent, whether at the time when he deponent within this city of the dwelling of that so-called white man with thick legs was brought, said man had slept, and only after a short while upon the arrival of the deponent came forth, or whether that man was present, he deponent answered, as soon as I came upstairs I saw the white man with thick legs sitting on a chair.",82,3
"You are a helpful assistant designed to help users translate text from early modern dutch to english. Here are some detailed instructions for translation of sentences from early modern dutch to modern english: (1) Retain the exact sentence structure of the original early modern Dutch text, (2) Keep the sentence length to the same as the original, (3) Preserve all proper nouns (names, dates, events, places, objects) exactly as they appear in the original text, (4) Keep any specific historical or cultural references unchanged, (5) Use contemporary English while retaining the formal or archaic tone of the original early modern Dutch text where appropriate, (6) Avoid contemporary slang or colloquial expressions and (7) Please only include the english translation of the early modern dutch text in your response. Please translate the following early modern Dutch text sentence into contemporary English text: ","Voor gevende dat de ola van Pootje ragiadoor van Palloertij niet acceptabel was, had hij geen geld van den vlaggeman g’eijscht en was wederom weggegaan; gelijk
denselven op de 17: aan hem voorgehoudene vrage bij ’t recollement in duijdelijke termen voorgeeft.","Purporting that the ola of Pootje ragiadoor of Palloertij was not acceptable, he did not demand money from the vlaggeman and left again; like he purports in clear terms to questions asked to him in the verification on the 17th.","Given that the oil from Pootje ragiadoor of Palloertij was not acceptable, he had not demanded money from the flagman and had departed again; just as the same on the 17th: communicated to him the question presented at the recollection in clear terms.",41,10
